149,Agave Syrup
28,Almonds
109,Anchovy
139,Apple Cider Vinegar
55,Apples
94,Artichoke
95,Asparagus
164,Baking Powder
165,Baking Soda
138,Balsamic Vinegar
56,Bananas
84,Barley
9,Basil
24,Bay Leaves
32,Beef
89,Beetroot
52,Bell Pepper
77,Black Beans
11,Black Pepper
160,Black Tea
108,Blackberry
125,Blue Cheese
61,Blueberries
67,Bread
47,Broccoli
86,Buckwheat
4,Butter
128,Buttermilk
50,Cabbage
135,Canola Oil
100,Cantaloupe
16,Cardamom
46,Carrots
161,Chamomile Tea
123,Cheddar Cheese
41,Cheese
31,Chicken
76,Chickpeas
20,Chili Powder
72,Chocolate
13,Cinnamon
17,Cloves
73,Cocoa Powder
74,Coconut
137,Coconut Oil
162,Coffee Beans
129,Condensed Milk
25,Coriander
83,Corn
87,Couscous
38,Crab
43,Cream
51,Cucumber
12,Cumin
106,Date
117,Duck
53,Eggplant
44,Eggs
105,Fig
133,Flax Seeds
1,Flour
6,Garlic
14,Ginger
119,Goose
124,Gouda Cheese
58,Grapes
79,Green Peas
159,Green Tea
126,Heavy Cream
70,Honey
101,Honeydew
145,Hot Sauce
148,Hummus
143,Ketchup
78,Kidney Beans
103,Kiwi
34,Lamb
96,Leeks
59,Lemons
75,Lentils
49,Lettuce
39,Lobster
110,Mackerel
64,Mango
71,Maple Syrup
144,Mayonnaise
40,Milk
150,Molasses
122,Mozzarella Cheese
97,Mushrooms
113,Mussels
142,Mustard
155,Nori
15,Nutmeg
68,Oats
114,Octopus
5,Olive Oil
7,Onion
57,Oranges
21,Oregano
102,Papaya
19,Paprika
121,Parmesan Cheese
10,Parsley
66,Pasta
62,Peaches
29,Peanuts
147,Pesto
63,Pineapple
88,Polenta
104,Pomegranate
33,Pork
45,Potatoes
91,Pumpkin
132,Pumpkin Seeds
120,Quail
69,Quinoa
93,Radish
107,Raspberry
152,Red Wine
141,Red Wine Vinegar
65,Rice
157,Rice Noodles
153,Rice Wine
23,Rosemary
85,Rye
26,Saffron
35,Salmon
3,Salt
167,Salt
169,Salt
111,Sardines
112,Scallops
154,Seaweed
134,Sesame Oil
130,Sesame Seeds
37,Shrimp
156,Soba Noodles
127,Sour Cream
80,Soybeans
48,Spinach
115,Squid
60,Strawberries
2,Sugar
166,Sugar
168,Sugar
131,Sunflower Seeds
90,Sweet Potato
146,Tahini
82,Tempeh
22,Thyme
81,Tofu
8,Tomatoes
98,Truffle
36,Tuna
118,Turkey
18,Turmeric
92,Turnip
158,Udon Noodles
27,Vanilla
136,Vegetable Oil
116,Venison
30,Walnuts
99,Watermelon
140,White Vinegar
151,White Wine
163,Yeast
42,Yogurt
54,Zucchini
